TransactionID	CustomerID	Product	Quantity	UnitPrice	TotalPrice	TransactionDate	City
1	CUST01825	Spark Intro	6	356.94	2141.64	2024-10-08	Austin
2	CUST08936	Big Data Essentials	5	421.85	2109.25	2025-03-08	San Francisco
3	CUST00435	ETL Pipelines 101	2	245.60	491.20	27-10-2025	Philadelphia
4	CUST00107	Airflow Fundamentals	2	265.75	531.50	2025-12-15	Portland
5	CUST05515	Big Data Essentials	1	421.85	421.85	2025-01-24	Phoenix
6	CUST07528	ETL Pipelines 101	1	245.60	245.60	2025-01-22	Chicago
7	CUST05926	Data Modeling Basics	2	178.25	356.50	2025-12-22	Boston
8	CUST03815	Data Governance 101	1	220.10	220.10	2025-01-24	Phoenix
9	CUST04375	Kafka Streaming Intro	6	399.00	2394.00	2025-10-25	Denver
10	CUST07574	Python for Data Engineers	3	289.99	869.97	17-10-2025	Boston
11	CUST00917	Cloud Fundamentals	1	199.50	199.50	2024-11-19	San Francisco
12	CUST05156	Cloud Fundamentals	6	199.50		2025-05-26	San Diego
13	CUST08831	SQL for Analysts	6	149.00	894.00	2025-08-21	Dallas
14	CUST02267	ETL Pipelines 101	4	245.60	982.40	04/03/2024	New York
15	CUST06917	Data Modeling Basics	1	178.25	178.25	2025-01-29	San Diego
16	CUST00189	NoSQL Essentials	6	199.99	1199.94	27-04-2024	Portland
17	CUST04809	Python for Data Engineers	2	289.99	579.98	2025-04-09	Portland
18	CUST08318	GenAI for Engineers	1	349.50	349.50	2025-10-02	Miami
100001	CUST08318	GenAI for Engineers	1	349.50	349.50	2025-10-02	Miami
19	CUST08838	Airflow Fundamentals		265.75		01-01-2024	Minneapolis
20	CUST05039	Cloud Fundamentals	1	199.50	199.50	09/03/2024	San Francisco
21	CUST01134	Airflow Fundamentals	5	265.75	1328.75	2024-05-08	Minneapolis
22	CUST08646	Data Governance 101	5	220.10	1100.50	2025/03/09	Miami
23	CUST06119	AWS Foundations	5	310.45		2025-04-07	Boston
24	CUST03771	Data Modeling Basics	2	178.25	356.50	2024-01-08	Seattle
25	CUST05414	Big Data Essentials	5	421.85		2024-08-31	Minneapolis
26	CUST07745	Cloud Fundamentals	4	199.50	798.00	2025-02-20	New York
27	CUST06736	AWS Foundations	6	310.45	1862.70	25-02-2024	New York
28	CUST01791	Cloud Fundamentals	2	199.50	399.00	2024-07-13	Austin
29	CUST04093	Data Governance 101	1	220.10	220.10	03/29/2025	New York
30	CUST00242	Big Data Essentials	2	421.85	843.70	2024-06-19	Minneapolis
31	CUST00961	Hadoop Basics	4	63.01	252.04	2024/01/03	Portland
32	CUST04674	Python for Data Engineers	6	289.99	1739.94	23-07-2025	Minneapolis
33	CUST00959	Data Modeling Basics	6	178.25	1069.50	2025-07-09	Atlanta
100002	CUST00959	Data Modeling Basics	6	178.25	1069.50	2025-07-09	Atlanta
34	CUST08239	GenAI for Engineers	5	349.50		2024-06-10	San Francisco
35	CUST01114	NoSQL Essentials	2	199.99		2025-02-17	Boston
36	CUST01344	Python for Data Engineers	6	289.99	1739.94	20-08-2025	Atlanta
37	CUST05148	Cloud Fundamentals	3	199.50	598.50	2025-02-09	Chicago
38	CUST01189	Spark Intro	4	356.94	1427.76	2025/09/28	New York
39	CUST04346	Hadoop Basics	3	63.01	189.03	03/11/2024	Phoenix
40	CUST08901	Kafka Streaming Intro	3	399.00	1197.00	2025/09/18	Houston
41	CUST01698	GenAI for Engineers	2	349.50	699.00	2024-09-27	New York
42	CUST04617	Data Modeling Basics	2	178.25	356.50	2024-12-17	Portland
43	CUST00833	Big Data Essentials		421.85		03/09/2025	Seattle
44	CUST04292	Hadoop Basics	6	63.01		28-03-2025	Philadelphia
45	CUST02443	ETL Pipelines 101	1	245.60		13-01-2025	Austin
46	CUST05975	GenAI for Engineers	1	349.50	349.50	2025-01-01	Boston
47	CUST06659	Data Modeling Basics	6	178.25	1069.50	06/07/2024	Boston
48	CUST02901	GenAI for Engineers	4	349.50	1398.00	2024-01-26	Atlanta
49	CUST04066	SQL for Analysts	2	149.00	298.00	2025-12-19	Seattle
50	CUST07542	Data Warehousing 101	3	275.30	825.90	2024-08-21	Miami
51	CUST01138	Airflow Fundamentals	3	265.75	797.25	25-12-2024	Dallas
52	CUST05426	Spark Intro		356.94		2024-09-24	Portland
53	CUST05664	Kafka Streaming Intro	3	399.00	1197.00	22-03-2025	New York
54	CUST04174	Spark Intro	6	356.94		2025-03-22	Miami
55	CUST05410	Data Modeling Basics	3	178.25	534.75	11/10/2025	Chicago
56	CUST05345	Python for Data Engineers	6	289.99	1739.94	29-10-2024	Miami
57	CUST02852	Data Modeling Basics	5	178.25	891.25	2024-11-04	Houston
58	CUST05280	AWS Foundations	4	310.45	1241.80	28-03-2025	Minneapolis
59	CUST02781	NoSQL Essentials	1	199.99	199.99	2024-10-17	Atlanta
60	CUST03849	NoSQL Essentials		199.99		08/18/2024	Austin
61	CUST07785	Data Modeling Basics	1	178.25	178.25	2025-04-11	Miami
62	CUST06548	Cloud Fundamentals	2	199.50	399.00	02-11-2025	New York
63	CUST08487	AWS Foundations	1	310.45	310.45	2025-07-24	New York
64	CUST08703	ETL Pipelines 101	5	245.60	1228.00	2024/11/20	San Diego
65	CUST08271	Python for Data Engineers	5	289.99	1449.95	04/01/2025	Minneapolis
66	CUST04544	Airflow Fundamentals	5	265.75	1328.75	11-05-2025	Portland
67	CUST03842	SQL for Analysts	3	149.00	447.00	11/23/2024	San Francisco
68	CUST02504	Kafka Streaming Intro	2	399.00	798.00	2024-03-06	Atlanta
69	CUST03389	Data Governance 101	4	220.10	880.40	02/02/2025	Houston
70	CUST06233	AWS Foundations	1	310.45	310.45	2024-12-26	Dallas
71	CUST06866	ETL Pipelines 101	6	245.60	1473.60	07/13/2025	Boston
72	CUST07957	Spark Intro	4	356.94	1427.76	10-12-2024	Dallas
73	CUST02092	Data Modeling Basics	5	178.25	891.25	01/28/2024	Houston
100003	CUST02092	Data Modeling Basics	5	178.25	891.25	01/28/2024	Houston
74	CUST07565	Hadoop Basics	1	63.01	63.01	2024-09-23	Miami
75	CUST06212	SQL for Analysts		149.00		09/15/2024	Minneapolis
76	CUST05734	Cloud Fundamentals	6	199.50	1197.00	03/11/2024	Seattle
77	CUST03267	Data Governance 101	1	220.10		2025-09-28	Austin
78	CUST03572	AWS Foundations	6	310.45	1862.70	09/19/2024	Denver
79	CUST01877	Airflow Fundamentals	2	265.75	531.50	2024-11-14	Houston
80	CUST06150	Python for Data Engineers	6	289.99	1739.94	2024-07-22	Boston
81	CUST01984	Airflow Fundamentals	5	265.75		2024-02-12	Philadelphia
82	CUST05591	Spark Intro	4	356.94	1427.76	2025-05-16	Phoenix
83	CUST02507	Python for Data Engineers	2	289.99	579.98	2025/06/18	Portland
84	CUST07922	AWS Foundations	4	310.45		2025-08-29	Boston
85	CUST07386	Cloud Fundamentals	4	199.50	798.00	06-08-2025	Dallas
86	CUST05326	Hadoop Basics	4	63.01	252.04	2024-08-05	Portland
87	CUST04527	ETL Pipelines 101	1	245.60	245.60	06/13/2025	San Francisco
88	CUST03938	Kafka Streaming Intro	4	399.00		23-10-2025	San Diego
100004	CUST03938	Kafka Streaming Intro	4	399.00		23-10-2025	San Diego
